Unnamed: 0,Nose-X,Nose-Y,Nose-Confidence,Neck-X,Neck-Y,Neck-Confidence,R-shoulder-X,R-shoulder-Y,R-shoulder-Confidence,R-elbow-X,R-elbow-Y,R-elbow-Confidence,R-wrist-X,R-wrist-Y,R-wrist-Confidence,L-shoulder-X,L-shoulder-Y,L-shoulder-Confidence,L-elbow-X,L-elbow-Y,L-elbow-Confidence,L-wrist-X,L-wrist-Y,L-wrist-Confidence,R-hip-X,R-hip-Y,R-hip-Confidence,R-knee-X,R-knee-Y,R-knee-Confidence,R-ankle-X,R-ankle-Y,R-ankle-Confidence,L-hip-X,L-hip-Y,L-hip-Confidence,L-knee-X,L-knee-Y,L-knee-Confidence,L-ankle-X,L-ankle-Y,L-ankle-Confidence,R-eye-X,R-eye-Y,R-eye-Confidence,L-eye-X,L-eye-Y,L-eye-Confidence,R-ear-X,R-ear-Y,R-ear-Confidence,L-ear-X,L-ear-Y,L-ear-Confidence,R-wrist-X-Filtered,R-wrist-Y-Filtered,R-elbow-X-Filtered,R-elbow-Y-Filtered,R-shoulder-X-Filtered,R-shoulder-Y-Filtered,L-shoulder-X-Filtered,L-shoulder-Y-Filtered
362,589,423,0.6749187707901001,588,894,0.2125812917947769,0,0,0.0,0,0,0,0,0,0,859,826,0.3242080211639404,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,521,386,0.619542121887207,656,388,0.6537705659866333,355,422,0.4335645735263824,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,399.195804195803,834.3216783216758,1279.999999999996,0.0
363,589,423,0.6749187707901001,588,894,0.2125812917947769,0,0,0.0,0,0,0,0,0,0,859,826,0.3242080211639404,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,521,386,0.619542121887207,656,388,0.6537705659866333,355,422,0.4335645735263824,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,506.496503496502,745.5944055944033,1279.999999999996,0.0
364,589,423,0.6749187707901001,588,894,0.2125812917947769,0,0,0.0,0,0,0,0,0,0,859,826,0.3242080211639404,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,521,386,0.619542121887207,656,388,0.6537705659866333,355,422,0.4335645735263824,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,638.937062937061,626.3706293706275,1279.999999999996,0.0
365,589,423,0.6749187707901001,588,894,0.2125812917947769,0,0,0.0,0,0,0,0,0,0,859,826,0.3242080211639404,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,521,386,0.619542121887207,656,388,0.6537705659866333,355,422,0.4335645735263824,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,783.1048951048926,487.7412587412573,1279.999999999996,0.0
366,523,488,0.5457264184951782,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,454,421,0.5878833532333374,589,421,0.647668719291687,320,489,0.3591731190681457,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,925.5874125874097,340.79720279720175,1279.999999999996,0.0
367,523,488,0.5457264184951782,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,454,421,0.5878833532333374,589,421,0.647668719291687,320,489,0.3591731190681457,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,1069.7552447552414,202.16783216783153,1279.999999999996,0.0
368,523,488,0.5457264184951782,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,454,421,0.5878833532333374,589,421,0.647668719291687,320,489,0.3591731190681457,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,1195.9020979020943,80.86713286713263,1279.999999999996,0.0
369,523,488,0.5457264184951782,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,454,421,0.5878833532333374,589,421,0.647668719291687,320,489,0.3591731190681457,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,1355.4755244755202,-75.09090909090881,1279.999999999996,0.0
370,523,488,0.5457264184951782,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,454,421,0.5878833532333374,589,421,0.647668719291687,320,489,0.3591731190681457,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,1409.538461538457,-127.07692307692263,1279.999999999996,0.0
371,523,488,0.5457264184951782,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,454,421,0.5878833532333374,589,421,0.647668719291687,320,489,0.3591731190681457,0,0,0.0,1279.999999999996,0.0,1279.999999999996,0.0,1357.6153846153804,-75.09090909090881,1279.999999999996,0.0
